Date,Open,High,Low,Close,Adj Close,Volume
2003/12/1,1.203398347,1.20400691,1.194400668,1.196501374,1.196501374,0
2003/12/2,1.196100712,1.210903049,1.194600344,1.208897471,1.208897471,0
2003/12/3,1.208999753,1.213003397,1.207700372,1.212297559,1.212297559,0
2003/12/4,1.212003708,1.214402795,1.204398394,1.208094239,1.208094239,0
2003/12/5,1.207802415,1.219095945,1.206592798,1.218694687,1.218694687,0
2003/12/8,1.216796756,1.224005222,1.215406537,1.222000957,1.222000957,0
2003/12/9,1.222105384,1.227701783,1.219794869,1.224994779,1.224994779,0
2003/12/10,1.224904776,1.226602554,1.216204762,1.219095945,1.219095945,0
2003/12/11,1.219095945,1.22349596,1.212297559,1.222404242,1.222404242,0
2003/12/12,1.222703099,1.230602622,1.221299529,1.227897763,1.227897763,0
2003/12/15,1.218694687,1.232498527,1.217804313,1.23199749,1.23199749,0
2003/12/16,1.231405735,1.235895276,1.230496645,1.232194781,1.232194781,0
2003/12/17,1.23199749,1.242004633,1.229997158,1.240202427,1.240202427,0
2003/12/18,1.240202427,1.244198918,1.236598372,1.242297769,1.242297769,0
2003/12/19,1.242205143,1.243502617,1.235101581,1.238497376,1.238497376,0
2003/12/22,1.235696793,1.244601488,1.235696793,1.239894867,1.239894867,0
2003/12/23,1.239894867,1.267202258,1.23880434,1.240002513,1.240002513,0
2003/12/24,1.240094781,1.247193813,1.240002513,1.245298982,1.245298982,0
2003/12/25,1.245702267,1.247007132,1.24430728,1.244802952,1.244802952,0
2003/12/26,1.245004416,1.247100472,1.242699146,1.243193507,1.243193507,0
2003/12/29,1.243394494,1.250797391,1.24299264,1.248392701,1.248392701,0
2003/12/30,1.248595357,1.256297231,1.248299241,1.254894018,1.254894018,0
2003/12/31,1.255004406,1.264894128,1.253007174,1.259001851,1.259001851,0
2004/1/1,1.259001851,1.260795593,1.247395992,1.25819397,1.25819397,0
2004/1/2,1.25819397,1.262801647,1.252693295,1.25819397,1.25819397,0
2004/1/5,1.263902903,1.26940608,1.263695359,1.2686975,1.2686975,0
2004/1/6,1.268906713,1.280803323,1.267202258,1.272102833,1.272102833,0
2004/1/7,1.272394061,1.273998976,1.262498736,1.26409471,1.26409471,0
2004/1/8,1.26409471,1.278707027,1.25650239,1.277498126,1.277498126,0
2004/1/9,1.277498126,1.286703229,1.271294236,1.285892487,1.285892487,0
2004/1/12,1.284802079,1.289706826,1.273804307,1.274096251,1.274096251,0
2004/1/13,1.274404883,1.279705167,1.271892428,1.278592587,1.278592587,0
2004/1/14,1.278805137,1.278805137,1.240602374,1.265102148,1.265102148,0
2004/1/15,1.265598536,1.267105937,1.256897211,1.26009655,1.26009655,0
2004/1/16,1.260001302,1.261002183,1.236399651,1.239802599,1.239802599,0
2004/1/19,1.238696933,1.242405772,1.23400414,1.235406756,1.235406756,0
2004/1/20,1.235101581,1.260207772,1.234994888,1.258906722,1.258906722,0
2004/1/21,1.258099079,1.266993523,1.256597161,1.265902877,1.265902877,0
2004/1/22,1.265806794,1.274892211,1.264494181,1.272507548,1.272507548,0
2004/1/23,1.272394061,1.277595997,1.257007837,1.258304834,1.258304834,0
2004/1/26,1.257497907,1.26109767,1.246105909,1.248798013,1.248798013,0
2004/1/27,1.248595357,1.265999079,1.244694471,1.263695359,1.263695359,0
2004/1/28,1.263407946,1.264398336,1.242004633,1.244198918,1.244198918,0
2004/1/29,1.244106054,1.252693295,1.237103224,1.241002679,1.241002679,0
2004/1/30,1.241002679,1.248501778,1.235498309,1.246805072,1.246805072,0
2004/2/2,1.24759829,1.248205662,1.239602804,1.24330163,1.24330163,0
2004/2/3,1.253792763,1.256107807,1.250500202,1.253494024,1.253494024,0
2004/2/4,1.254594922,1.256107807,1.250500202,1.253997087,1.253997087,0
2004/2/5,1.253792763,1.263599515,1.252395153,1.257197499,1.257197499,0
2004/2/6,1.257007837,1.272604585,1.25189352,1.270002484,1.270002484,0
2004/2/9,1.265502453,1.275705457,1.265502453,1.26940608,1.26940608,0
2004/2/10,1.269293189,1.278707027,1.26739502,1.268504262,1.268504262,0
2004/2/11,1.268295169,1.284703016,1.265806794,1.283005238,1.283005238,0
2004/2/12,1.283301711,1.284703016,1.279606819,1.2818048,1.2818048,0
2004/2/13,1.281706214,1.288992047,1.272507548,1.272799015,1.272799015,0
2004/2/16,1.272993445,1.279001355,1.272199869,1.276503444,1.276503444,0
2004/2/17,1.276405573,1.287796855,1.276307821,1.285793304,1.285793304,0
2004/2/18,1.286306024,1.292206764,1.266592264,1.272507548,1.272507548,0
2004/2/19,1.272896171,1.276698947,1.265999079,1.275705457,1.275705457,0
2004/2/20,1.275803208,1.276096106,1.25029695,1.254201531,1.254201531,0
2004/2/23,1.250093818,1.259398222,1.245702267,1.257197499,1.257197499,0
2004/2/24,1.257197499,1.271100283,1.252897263,1.267796636,1.267796636,0
2004/2/25,1.267893195,1.270405889,1.248392701,1.249703288,1.249703288,0
2004/2/26,1.250093818,1.251799464,1.239695072,1.244802952,1.244802952,0
2004/2/27,1.244802952,1.250703573,1.238098741,1.249406576,1.249406576,0
2004/3/1,1.253902674,1.254107237,1.24299264,1.244802952,1.244802952,0
2004/3/2,1.245004416,1.245004416,1.220300913,1.220405102,1.220405102,0
2004/3/3,1.220196605,1.222000957,1.20689857,1.219095945,1.219095945,0
2004/3/4,1.219393253,1.224095106,1.21429956,1.220703125,1.220703125,0
2004/3/5,1.220494509,1.242699146,1.217997074,1.236797214,1.236797214,0
2004/3/8,1.236506581,1.242606521,1.234598398,1.242606521,1.242606521,0
2004/3/9,1.242606521,1.246401072,1.228697419,1.231906414,1.231906414,0
2004/3/10,1.242606521,1.246401072,1.220703125,1.223196745,1.223196745,0
2004/3/11,1.223196745,1.23800683,1.217404008,1.235101581,1.235101581,0
2004/3/12,1.234994888,1.235406756,1.217893362,1.222404242,1.222404242,0
2004/3/15,1.221403837,1.231405735,1.221299529,1.22720468,1.22720468,0
2004/3/16,1.226903558,1.237195015,1.224604726,1.226106167,1.226106167,0
2004/3/17,1.226001024,1.229195833,1.218293905,1.222703099,1.222703099,0
2004/3/18,1.222703099,1.241896629,1.222598553,1.238896489,1.238896489,0
2004/3/19,1.238696933,1.240694761,1.226407051,1.226903558,1.226903558,0
2004/3/22,1.227701783,1.239602804,1.222703099,1.234598398,1.234598398,0
2004/3/23,1.234598398,1.236996055,1.227295041,1.234506965,1.234506965,0
2004/3/24,1.234598398,1.236996055,1.211093664,1.213901639,1.213901639,0
2004/3/25,1.214004755,1.219705582,1.21080029,1.213695288,1.213695288,0
2004/3/26,1.213798523,1.221001267,1.208999753,1.212694526,1.212694526,0
2004/3/29,1.211401701,1.217003942,1.206505418,1.216604233,1.216604233,0
2004/3/30,1.216604233,1.222598553,1.215598583,1.218501687,1.218501687,0
2004/3/31,1.218204856,1.232194781,1.21759665,1.231299639,1.231299639,0
2004/4/1,1.231193542,1.238497376,1.225895882,1.236506581,1.236506581,0
2004/4/2,1.236598372,1.237195015,1.21080029,1.2129004,1.2129004,0
2004/4/5,1.211504459,1.212606192,1.198997736,1.201302171,1.201302171,0
2004/4/6,1.201793075,1.214594603,1.198897004,1.213106394,1.213106394,0
2004/4/7,1.213003397,1.219794869,1.20589447,1.216604233,1.216604233,0
2004/4/8,1.216397047,1.221702337,1.206694722,1.207700372,1.207700372,0
2004/4/9,1.207904458,1.211299062,1.206694722,1.20860517,1.20860517,0
2004/4/12,1.209102154,1.209599376,1.20580709,1.207306623,1.207306623,0
2004/4/13,1.207306623,1.208298564,1.191000819,1.193801761,1.193801761,0
2004/4/14,1.193502545,1.197303653,1.187704802,1.19470036,1.19470036,0
2004/4/15,1.194600344,1.198997736,1.189994454,1.198695779,1.198695779,0
2004/4/16,1.198796391,1.204804778,1.19310379,1.200292826,1.200292826,0
2004/4/19,1.201995254,1.207802415,1.200292826,1.200696468,1.200696468,0
2004/4/20,1.198796391,1.201995254,1.182802081,1.184805989,1.184805989,0
2004/4/21,1.184805989,1.191199422,1.182102919,1.181000113,1.181000113,0
2004/4/22,1.180693269,1.19310379,1.179106236,1.192506313,1.192506313,0
2004/4/23,1.192292929,1.193901539,1.180205584,1.185002565,1.185002565,0
2004/4/26,1.180094123,1.188693166,1.176498294,1.1861974,1.1861974,0
2004/4/27,1.186295867,1.194600344,1.183698058,1.192904592,1.192904592,0
2004/4/28,1.19310379,1.194400668,1.182802081,1.1843009,1.1843009,0
2004/4/29,1.1843009,1.198494673,1.180804849,1.196000576,1.196000576,0
2004/4/30,1.19590044,1.200494647,1.192904592,1.198293686,1.198293686,0
2004/5/3,1.199400306,1.199803233,1.192506313,1.193602204,1.193602204,0
2004/5/4,1.193602204,1.211695194,1.193502545,1.210507274,1.210507274,0
2004/5/5,1.210507274,1.217804313,1.210199594,1.215894103,1.215894103,0
2004/5/6,1.215894103,1.217492938,1.20689857,1.207700372,1.207700372,0
2004/5/7,1.207802415,1.208692908,1.187493324,1.188001156,1.188001156,0
2004/5/10,1.189499021,1.189499021,1.181600094,1.184595585,1.184595585,0
2004/5/11,1.184595585,1.189103127,1.179606915,1.188198805,1.188198805,0
2004/5/12,1.188001156,1.194101095,1.183796287,1.190504551,1.190504551,0
2004/5/13,1.190703034,1.19310379,1.177994967,1.18040061,1.18040061,0
2004/5/14,1.18040061,1.189400077,1.178897738,1.188198805,1.188198805,0
2004/5/17,1.189499021,1.20589447,1.188198805,1.202501178,1.202501178,0
2004/5/18,1.202399969,1.203804016,1.193602204,1.194500566,1.194500566,0
2004/5/19,1.194400668,1.203905463,1.194400668,1.200393677,1.200393677,0
2004/5/20,1.200393677,1.201403141,1.190093637,1.195700288,1.195700288,0
2004/5/21,1.19590044,1.206796646,1.195700288,1.202804923,1.202804923,0
2004/5/24,1.200105667,1.202501178,1.193901539,1.199903965,1.199903965,0
2004/5/25,1.199803233,1.212606192,1.198796391,1.210097075,1.210097075,0
2004/5/26,1.210097075,1.214004755,1.20879519,1.211093664,1.211093664,0
2004/5/27,1.211005569,1.228606939,1.209306836,1.227596402,1.227596402,0
2004/5/28,1.227295041,1.22940743,1.220703125,1.221806884,1.221806884,0
2004/5/31,1.224005222,1.224499822,1.218204856,1.219898939,1.219898939,0
2004/6/1,1.219898939,1.226497173,1.215997696,1.224499822,1.224499822,0
2004/6/2,1.224604726,1.230496645,1.221001267,1.221896291,1.221896291,0
2004/6/3,1.221896291,1.225204945,1.21759665,1.222105384,1.222105384,0
2004/6/4,1.221896291,1.229997158,1.218605638,1.227505922,1.227505922,0
2004/6/7,1.231800199,1.23400414,1.230905533,1.231800199,1.231800199,0
2004/6/8,1.232407331,1.234994888,1.224994779,1.226106167,1.226106167,0
2004/6/9,1.226196408,1.227505922,1.202804923,1.204296947,1.204296947,0
2004/6/10,1.204500079,1.211607218,1.203297019,1.210903049,1.210903049,0
2004/6/11,1.210507274,1.211093664,1.197103024,1.20150435,1.20150435,0
2004/6/14,1.196802139,1.20879519,1.195700288,1.206199884,1.206199884,0
2004/6/15,1.20580709,1.217092872,1.203398347,1.216604233,1.216604233,0
2004/6/16,1.216604233,1.216796756,1.198695779,1.200696468,1.200696468,0
2004/6/17,1.200494647,1.207598209,1.199702382,1.203398347,1.203398347,0
2004/6/18,1.203297019,1.214904428,1.197805524,1.21450603,1.21450603,0
2004/6/21,1.213798523,1.214594603,1.208094239,1.212606192,1.212606192,0
2004/6/22,1.212503314,1.213194728,1.207000613,1.212194681,1.212194681,0
2004/6/23,1.212106466,1.219006777,1.207306623,1.20860517,1.20860517,0
2004/6/24,1.20879519,1.219006777,1.204601526,1.217404008,1.217404008,0
2004/6/25,1.217092872,1.220300913,1.211299062,1.220300913,1.220300913,0
2004/6/28,1.217492938,1.222703099,1.212797403,1.218694687,1.218694687,0
2004/6/29,1.218694687,1.219095945,1.207496166,1.209804296,1.209804296,0
2004/6/30,1.209496975,1.220300913,1.206796646,1.218397856,1.218397856,0
2004/7/1,1.218293905,1.220807433,1.213901639,1.216204762,1.216204762,0
2004/7/2,1.216204762,1.23300004,1.214904428,1.231102586,1.231102586,0
2004/7/5,1.23300004,1.233197689,1.227505922,1.229997158,1.229997158,0
2004/7/6,1.229997158,1.232893586,1.22709918,1.228501201,1.228501201,0
2004/7/7,1.228395581,1.23880434,1.227807403,1.237103224,1.237103224,0
2004/7/8,1.236996055,1.240294695,1.23429358,1.239495277,1.239495277,0
2004/7/9,1.239695072,1.242405772,1.237394094,1.241896629,1.241896629,0
2004/7/12,1.24120295,1.243595481,1.238696933,1.240802526,1.240802526,0
2004/7/13,1.240402341,1.24120295,1.230405688,1.233304143,1.233304143,0
2004/7/14,1.233304143,1.242004633,1.232498527,1.238497376,1.238497376,0
2004/7/15,1.238497376,1.239203453,1.233501911,1.23560524,1.23560524,0
2004/7/16,1.235803723,1.24599731,1.233304143,1.245593786,1.245593786,0
2004/7/19,1.245500684,1.246401072,1.240494728,1.243997693,1.243997693,0
